tax_id,seqname
1263829,Bibersteinia_trehalosi_USDA-ARS-USMARC-188|12638293
1171377,Bibersteinia_trehalosi_USDA-ARS-USMARC-192|11713773
722911,Bifidobacterium_longum_subsp_longum_F8|7229113
1693,Bifidobacterium_minimum_strain_LMG_11592|16933
77635,Bifidobacterium_subtile_strain_LMG_11597|776353
693988,Bilophila_sp_4_1_30|6939883
563192,Bilophila_wadsworthia_3_1_6|5631923
1408428,Bilophila_wadsworthia_ATCC_49260|14084283
1079,Blastochloris_viridis_strain_DSM_133|10798
1146883,Blastococcus_saxobsidens_DD2|11468833
1380356,Blastococcus_sp_URHD0036|13803564
1523416,Blastomonas_sp_AAP25|15234163
1248760,Blastomonas_sp_AAP53|12487603
1768738,Blastomonas_sp_CCH9-A1|17687383
314230,Blastopirellula_marina_DSM_3645|3142304
1186051,Blattabacterium_sp_Blaberus_giganteus|11860513
1075399,Blattabacterium_sp_Cryptocercus_punctulatus_str_Cpu|10753993
1229512,Blattabacterium_sp_Panesthia_angustipennis_spadica_str_BPAA|12295123
53443,Blautia_hydrogenotrophica|534433
1796616,Blautia_sp_YL58|17966164
1505597,Blochmannia_endosymbiont_of_Camponotus_Colobopsis_obliquus|15055974
1505596,Blochmannia_endosymbiont_of_Polyrhachis_Hedomyrma_turneri|15055964
340100,Bordetella_petrii_DSM_12804|3401003
1746199,Bordetella_sp_N|17461993
1125973,Bosea_sp_117|11259733
1736583,Bosea_sp_Root670|17365833
406341,Bosea_sp_WAO|4063416
1064537,Brachybacterium_paraconglomeratum_LC44|10645373
396014,Brachybacterium_phenoliresistens_strain_W13A50|3960143
1704590,Brachybacterium_sp_SW0106-09|17045903
1121116,Brachymonas_chironomi_DSM_19884|11211163
29522,Brachyspira_aalborgi|295224
1266923,Brachyspira_hyodysenteriae_ATCC_27164|12669237
759914,Brachyspira_pilosicoli_951000|7599145
1752203,Bradyrhizobiaceae_bacterium_Ga0074131|17522033
709797,Bradyrhizobiaceae_bacterium_SG-6C|7097973
1274631,Bradyrhizobium_icense_strain_LMTR_13|12746314
1245469,Bradyrhizobium_oligotrophicum_S58|12454693
376,Bradyrhizobium_sp_strain_BF49_genome1|37636
1807500,Branchiibius_sp_NY16-3462-2|18075003
1393,Brevibacillus_brevis_strain_DZQ7|13933
54911,Brevibacillus_choshinensis_strain_DSM_8552|549113
1121122,Brevibacterium_album_DSM_18261|11211223
450367,Brevibacterium_frigoritolerans_strain_FJAT-2396|4503675
260554,Brevibacterium_halotolerans_strain_FJAT-2398|2605546
1121123,Brevundimonas_aveniformis_DSM_17977|11211233
1121125,Brevundimonas_naejangsanensis_DSM_23858|11211253
1736443,Brevundimonas_sp_Root1279|17364433
1121126,Brochothrix_thermosphacta_DSM_20171__FSL_F6-1036|11211265
2756,Brochothrix_thermosphacta_strain_Bth-7809|275611
1328357,Brucella_abortus_01-0065|13283573
36855,Brucella_canis_strain_2010009751|3685528
520456,Brucella_neotomae_5K33|5204566
1340493,Bryobacter_aggregatus_MPL3|13404933
372461,Buchnera_aphidicola_BCc|37246117
118101,Buchnera_aphidicola_Diuraphis_noxia|1181014
1009857,Buchnera_aphidicola_str_W106_Myzus_persicae|10098573
679192,Bulleidia_extructa_W1219|6791923
75105,Burkholderia_caribensis_strain_MWAP64|751053
1250339,Burkholderia_thailandensis_MSMB59|12503393
101571,Burkholderia_ubonensis_strain_MSMB1157|101571255
1619952,Burkholderiaceae_bacterium_16|16199523
1619951,Burkholderiaceae_bacterium_26|16199513
469610,Burkholderiales_bacterium_1_1_47|4696104
1469502,Burkholderiales_bacterium_GJ-E10|14695023
864051,Burkholderiales_bacterium_JOSHI_001|8640513
1006004,Buttiauxella_agrestis_ATCC_33320|10060044
82977,Buttiauxella_agrestis_strain_MCE|829773
1354252,Buttiauxella_ferragutiae_ATCC_51602|13542524
1203606,Butyricicoccus_pullicaecorum_12|12036064
1816677,Butyricimonas_sp_Marseille-P2440|18166773
1121130,Butyricimonas_virosa_DSM_23226|11211303
657324,Butyrivibrio_fibrisolvens_164|6573243
515622,Butyrivibrio_proteoclasticus_B316|5156223
1496721,Butyrivibrio_sp_AE3003|14967213
1629334,Caedibacter_varicaedens|16293343
1450524,Caenimonas_sp_SL110|14505243
1238182,Caenispirillum_salinarum_AK4|12381823
986075,Caldalkalibacillus_thermarum_TA2A1|9860753
1388761,Caldanaerobacter_subterraneus_subsp_yonseiensis_KB-1|13887613
935948,Caldanaerobius_polysaccharolyticus_DSM_13641|9359485
1121917,Caldibacillus_debilis_DSM_16016|11219173
301148,Caldibacillus_debilis_strain_B4135|3011483
632335,Caldicellulosiruptor_kristjanssonii_177R1B|6323358
608506,Caldicellulosiruptor_obsidiansis_OB47|6085063
1304880,Caldicoprobacter_oshimai_DSM_21659|13048803
926550,Caldilinea_aerophila_DSM_14535__NBRC_104270|9265505
1265502,Caldimonas_manganoxidans_ATCC_BAA-369|12655023
1349753,Caldimonas_taiwanensis_NBRC_104434|13497533
511051,Caldisericum_exile_AZM16c01|5110513
1294024,Calditerricola_satsumensis_JCM_14719|12940244
768670,Calditerrivibrio_nitroreducens_DSM_19672|7686703
908809,Caloramator_mitchellensis_strain_VF08|9088093
1031288,Caloramator_sp_ALD01|10312883
1156417,Caloranaerobacter_azorensis_H53214|11564173
1302151,Caloranaerobacter_sp_TR13|13021513
1337936,Calothrix_sp_3363|13379363
1170562,Calothrix_sp_PCC_6303|11705623
195,Campylobacter_coli|195527
1388749,Campylobacter_lari_NCTC_11845|13887493
1674898,Campylobacterales_bacterium_Epsilon_01|16748983
522306,Candidatus_Accumulibacter_phosphatis_clade_IIA_str_UW-1|5223063
1454001,Candidatus_Accumulibacter_sp_SK-12|14540013
1662188,Candidatus_Achromatium_palustre|16621884
452471,Candidatus_Amoebophilus_asiaticus_5a2|4524715
1081644,Candidatus_Aquiluna_sp_IMCC13023|10816443
1029718,Candidatus_Arthromitus_sp_SFB-mouse-Japan|10297186
1041809,Candidatus_Arthromitus_sp_SFB-mouse-Yit|10418093
1453429,Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA|7138878
1527444,Candidatus_Atelocyanobacterium_thalassa_isolate_SIO64986|15274443
