"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","species","below_species","below_below_species","below_below_below_species","subspecies","below_subspecies"
"28262","28261","species","Thermodesulfovibrio yellowstonii","1","131567","2","","","","","","40117","","","","203693","","","","","189778","","","","189779","","","","","","28261","","","","","28262","","","","",""
"1382306","768669","species","Thermogemmatispora carboxidivorans","1","131567","2","1783272","","","","","200795","","","","388447","","","","","768667","","","","768668","","","","","","768669","","","","","1382306","","","","",""
"500","499","species","Thermomicrobium roseum","1","131567","2","1783272","","","","","200795","","","","189775","","","","","189776","","","","189777","","","","","","499","","","","","500","","","","",""
"215690","141948","species","Thermomonas fusca","1","131567","2","","","","","","1224","","","","1236","","","","","135614","","","","32033","","","","","","141948","","","","","215690","","","","",""
"2020","2019","species","Thermomonospora curvata","1","131567","2","1783272","","","","","201174","","","","1760","","","","","85012","","","","2012","","","","","","2019","","","","","2020","","","","",""
"55505","28194","species","Thermonema rossianum","1","131567","2","1783270","68336","","","","976","","","","768503","","","","","768507","","","","1853233","","","","","","28194","","","","","55505","","","","",""
"1495045","1495041","species","Thermopetrobacter sp. TC1","1","131567","2","","","","","","1224","","","","28211","82117","","","","","","","","","","","","","","1495041","","","","","1495045","","","","",""
"385682","1434049","species","Thermophagus xiamenensis","1","131567","2","1783270","68336","","","","976","","","","200643","","","","","171549","","","","558415","","","","","","1434049","","","","","385682","","","","",""
"1382356","1649508","species","Thermorudis peleae","1","131567","2","1783272","","","","","200795","","","","189775","260955","","","","","","","","","","","","","","1649508","","","","","1382356","","","","",""
"291990","291988","species","Thermosediminibacter oceani","1","131567","2","1783272","","","","","1239","","","","186801","","","","","68295","","","","543371","","","","","","291988","","","","","291990","","","","",""
"261685","261684","species","Thermosinus carboxydivorans","1","131567","2","1783272","","","","","1239","","","","909932","","","","","909929","","","","1843490","","","","","","261684","","","","","261685","","","","",""
"2421","2420","species","Thermosipho africanus","1","131567","2","","","","","","200918","","","","188708","","","","","2419","","","","1643950","","","","","","2420","","","","","2421","","","","",""
"46541","2420","species","Thermosipho melanesiensis","1","131567","2","","","","","","200918","","","","188708","","","","","2419","","","","1643950","","","","","","2420","","","","","46541","","","","",""
"412593","412592","species","Thermosulfidibacter takaii","1","131567","2","","","","","","200783","","","","187857","","","","","32069","90150","","","","","","","","","412592","","","","","412593","","","","",""
"999894","1522431","species","Thermosulfurimonas dismutans","1","131567","2","","","","","","200940","","","","67799","","","","","188710","","","","188711","","","","","","1522431","","","","","999894","","","","",""
"146786","146785","species","Thermosynechococcus elongatus","1","131567","2","1783272","1798711","","","","1117","","","","","","","","","1890424","","","","1890426","","","","","","146785","","","","","146786","","","","",""
"1394889","146785","species","Thermosynechococcus sp. NK55a","1","131567","2","1783272","1798711","","","","1117","","","","","","","","","1890424","","","","1890426","","","","","","146785","","","","","1394889","","","","",""
"520762","648799","species","Thermotalea metallivorans","1","131567","2","1783272","","","","","1239","","","","186801","","","","","186802","","","","31979","","","","","","648799","","","","","520762","","","","",""
"1157947","2335","species","Thermotoga sp. Cell2","1","131567","2","","","","","","200918","","","","188708","","","","","2419","","","","188709","","","","","","2335","","","","","1157947","","","","",""
"126738","2335","species","Thermotoga sp. RQ7","1","131567","2","","","","","","200918","","","","188708","","","","","2419","","","","188709","","","","","","2335","","","","","126738","","","","",""
"1235863","2335","species","Thermotoga sp. Xyl54","1","131567","2","","","","","","200918","","","","188708","","","","","2419","","","","188709","","","","","","2335","","","","","1235863","","","","",""
"520767","159730","species","Thermovenabulum gondwanense","1","131567","2","1783272","","","","","1239","","","","186801","","","","","68295","","","","543371","","","","","","159730","","","","","520767","","","","",""
"228745","171868","species","Thermovibrio ammonificans","1","131567","2","","","","","","200783","","","","187857","","","","","1485951","","","","558314","","","","","","171868","","","","","228745","","","","",""
"336261","336260","species","Thermovirga lienii","1","131567","2","","","","","","508458","","","","649775","","","","","649776","","","","649777","","","","","","336260","","","","","336261","","","","",""
"456163","270","species","Thermus parvatiensis","1","131567","2","1783272","","","","","1297","","","","188787","","","","","68933","","","","188786","","","","","","270","","","","","456163","","","","",""
"1214928","270","species","Thermus tengchongensis","1","131567","2","1783272","","","","","1297","","","","188787","","","","","68933","","","","188786","","","","","","270","","","","","1214928","","","","",""
"274","270","species","Thermus thermophilus","1","131567","2","1783272","","","","","1297","","","","188787","","","","","68933","","","","188786","","","","","","270","","","","","274","","","","",""
"92245","92244","species","Thioalkalimicrobium aerophilum","1","131567","2","","","","","","1224","","","","1236","","","","","72273","","","","135616","","","","","","92244","","","","","92245","","","","",""
"147268","92244","species","Thioalkalimicrobium cyclicum","1","131567","2","","","","","","1224","","","","1236","","","","","72273","","","","135616","","","","","","92244","","","","","147268","","","","",""
"406020","92244","species","Thioalkalimicrobium microaerophilum","1","131567","2","","","","","","1224","","","","1236","","","","","72273","","","","135616","","","","","","92244","","","","","406020","","","","",""
"1158144","106633","species","Thioalkalivibrio sp. ALJ1","1","131567","2","","","","","","1224","","","","1236","","","","","135613","","","","72276","","","","","","106633","","","","","1158144","","","","",""
"396595","106633","species","Thioalkalivibrio sp. K90mix","1","131567","2","","","","","","1224","","","","1236","","","","","135613","","","","72276","","","","","","106633","","","","","396595","","","","",""
"106634","106633","species","Thioalkalivibrio versutus","1","131567","2","","","","","","1224","","","","1236","","","","","135613","","","","72276","","","","","","106633","","","","","106634","","","","",""
"36861","919","species","Thiobacillus denitrificans","1","131567","2","","","","","","1224","","","","28216","","","","","119069","","","","206349","","","","","","919","","","","","36861","","","","",""
"931","919","species","Thiobacillus thioparus","1","131567","2","","","","","","1224","","","","28216","","","","","119069","","","","206349","","","","","","919","","","","","931","","","","",""
"244573","1056","species","Thiocapsa marina","1","131567","2","","","","","","1224","","","","1236","","","","","135613","","","","1046","","","","","","1056","","","","","244573","","","","",""
"1317124","285107","species","Thioclava atlantica","1","131567","2","","","","","","1224","","","","28211","","","","","204455","","","","31989","","","","","","285107","","","","","1317124","","","","",""
"285109","285107","species","Thioclava pacifica","1","131567","2","","","","","","1224","","","","28211","","","","","204455","","","","31989","","","","","","285107","","","","","285109","","","","",""
"73141","13724","species","Thiocystis violascens","1","131567","2","","","","","","1224","","","","1236","","","","","135613","","","","1046","","","","","","13724","","","","","73141","","","","",""
"381306","492233","species","Thiohalorhabdus denitrificans","1","131567","2","","","","","","1224","","","","1236","118884","","","","","","","","","","","","","","492233","","","","","381306","","","","",""
"39765","933","species","Thiomicrospira crunogena","1","131567","2","","","","","","1224","","","","1236","","","","","72273","","","","135616","","","","","","933","","","","","39765","","","","",""
"1685380","933","species","Thiomicrospira sp. WB1","1","131567","2","","","","","","1224","","","","1236","","","","","72273","","","","135616","","","","","","933","","","","","1685380","","","","",""
"339866","32012","species","Thiomonas bhubaneswarensis","1","131567","2","","","","","","1224","","","","28216","","","","","80840","119065","224471","","","","","","","","32012","","","","","339866","","","","",""
"926","32012","species","Thiomonas intermedia","1","131567","2","","","","","","1224","","","","28216","","","","","80840","119065","224471","","","","","","","","32012","","","","","926","","","","",""
"554133","32012","species","Thiomonas sp. CB6","1","131567","2","","","","","","1224","","","","28216","","","","","80840","119065","224471","","","","","","","","32012","","","","","554133","","","","",""
"40754","40751","species","Thioploca ingrica","1","131567","2","","","","","","1224","","","","1236","","","","","72273","","","","135617","","","","","","40751","","","","","40754","","","","",""
"210408","57488","species","Thiorhodococcus drewsii","1","131567","2","","","","","","1224","","","","1236","","","","","135613","","","","1046","","","","","","57488","","","","","210408","","","","",""
"1249627","57488","species","Thiorhodococcus sp. AK35","1","131567","2","","","","","","1224","","","","1236","","","","","135613","","","","1046","","","","","","57488","","","","","1249627","","","","",""
"154347","154346","species","Thiorhodospira sibirica","1","131567","2","","","","","","1224","","","","1236","","","","","135613","","","","72276","","","","","","154346","","","","","154347","","","","",""
"631362","61593","species","Thiorhodovibrio sp. 970","1","131567","2","","","","","","1224","","","","1236","","","","","135613","","","","1046","","","","","","61593","","","","","631362","","","","",""
"125614","1030","species","Thiothrix disciformis","1","131567","2","","","","","","1224","","","","1236","","","","","72273","","","","135617","","","","","","1030","","","","","125614","","","","",""
"525917","1030","species","Thiothrix lacustris","1","131567","2","","","","","","1224","","","","1236","","","","","72273","","","","135617","","","","","","1030","","","","","525917","","","","",""
"1031","1030","species","Thiothrix nivea","1","131567","2","","","","","","1224","","","","1236","","","","","72273","","","","135617","","","","","","1030","","","","","1031","","","","",""
"1177931","936","species","Thiovulum sp. ES","1","131567","2","","","","","","1224","","","68525","29547","","","","","213849","","","","72293","","","","","","936","","","","","1177931","","","","",""
"1465825","1465824","species","Timonella senegalensis","1","131567","2","1783272","","","","","201174","","","","1760","","","","","85006","","","","","","","","","","1465824","","","","","1465825","","","","",""
"1723384","1737408","species","Tissierellia bacterium GD9","1","131567","2","1783272","","","","","1239","","","","1737404","1737407","1737408","","","","","","","","","","","","","","","","","","1723384","","","","",""
"1588751","1737408","species","Tissierellia bacterium KA00581","1","131567","2","1783272","","","","","1239","","","","1737404","1737407","1737408","","","","","","","","","","","","","","","","","","1588751","","","","",""
"171437","171436","species","Tistrella mobilis","1","131567","2","","","","","","1224","","","","28211","","","","","204441","","","","41295","","","","","","171436","","","","","171437","","","","",""
"43948","43947","species","Tolumonas auensis","1","131567","2","","","","","","1224","","","","1236","","","","","135624","","","","84642","","","","","","43947","","","","","43948","","","","",""
"1283284","43947","species","Tolumonas sp. BRL6-1","1","131567","2","","","","","","1224","","","","1236","","","","","135624","","","","84642","","","","","","43947","","","","","1283284","","","","",""
"1136105","111782","species","Tolypothrix campylonemoides","1","131567","2","1783272","1798711","","","","1117","","","","","","","","","1161","","","","119859","","","","","","111782","","","","","1136105","","","","",""
"1188","111782","species","Tolypothrix sp. PCC 7601","1","131567","2","1783272","1798711","","","","1117","","","","","","","","","1161","","","","119859","","","","","","111782","","","","","1188","","","","",""
"630403","741759","species","Tomitella biformata","1","131567","2","1783272","","","","","201174","","","","1760","","","","","85007","697024","","","","","","","","","741759","","","","","630403","","","","",""
"158852","158851","species","Trabulsiella guamensis","1","131567","2","","","","","","1224","","","","1236","","","","","91347","","","","543","","","","","","158851","","","","","158852","","","","",""
"379893","158851","species","Trabulsiella odontotermitis","1","131567","2","","","","","","1224","","","","1236","","","","","91347","","","","543","","","","","","158851","","","","","379893","","","","",""
"640938","82802","species","Trichococcus ilyis","1","131567","2","1783272","","","","","1239","","","","91061","","","","","186826","","","","186828","","","","","","82802","","","","","640938","","","","",""
"872292","82802","species","Trichococcus sp. ES5","1","131567","2","1783272","","","","","1239","","","","91061","","","","","186826","","","","186828","","","","","","82802","","","","","872292","","","","",""
"1206","1205","species","Trichodesmium erythraeum","1","131567","2","1783272","1798711","","","","1117","","","","","","","","1301283","1150","","","","1892252","","","","","","1205","","","","","1206","","","","",""
"2039","2038","species","Tropheryma whipplei","1","131567","2","1783272","","","","","201174","","","","1760","","","","","85006","577468","","","","","","","","","2038","","","","","2039","","","","",""
"928856","599653","species","Tropicibacter multivorans","1","131567","2","","","","","","1224","","","","28211","","","","","204455","","","","31989","","","","","","599653","","","","","928856","","","","",""
"441103","599653","species","Tropicibacter naphthalenivorans","1","131567","2","","","","","","1224","","","","28211","","","","","204455","","","","31989","","","","","","599653","","","","","441103","","","","",""
"332249","332248","species","Truepera radiovictrix","1","131567","2","1783272","","","","","1297","","","","188787","","","","","118964","","","","332247","","","","","","332248","","","","","332249","","","","",""
"1661","1069494","species","Trueperella pyogenes","1","131567","2","1783272","","","","","201174","","","","1760","","","","","2037","","","","2049","","","","","","1069494","","","","","1661","","","","",""
"2061","2060","species","Tsukamurella paurometabola","1","131567","2","1783272","","","","","201174","","","","1760","","","","","85007","","","","85028","","","","","","2060","","","","","2061","","","","",""
"57704","2060","species","Tsukamurella tyrosinosolvens","1","131567","2","1783272","","","","","201174","","","","1760","","","","","85007","","","","85028","","","","","","2060","","","","","57704","","","","",""
"340097","340096","species","Tuberibacillus calidus","1","131567","2","1783272","","","","","1239","","","","91061","","","","","1385","","","","186821","","","","","","340096","","","","","340097","","","","",""
"1157490","432330","species","Tumebacillus flagellatus","1","131567","2","1783272","","","","","1239","","","","91061","","","","","1385","","","","186823","","","","","","432330","","","","","1157490","","","","",""
"29321","144193","species","Turicella otitidis","1","131567","2","1783272","","","","","201174","","","","1760","","","","","85007","","","","1653","","","","","","144193","","","","","29321","","","","",""
"1712675","191303","species","Turicibacter sp. H121","1","131567","2","1783272","","","","","1239","","","","526524","","","","","526525","","","","128827","","","","","","191303","","","","","1712675","","","","",""
"29510","338321","species","Turneriella parva","1","131567","2","","","","","","203691","","","","203692","1643688","","","","","","","","170","","","","","","338321","","","","","29510","","","","",""
"1560354","36866","species","Type-B symbiont of Plautia stali","1","131567","2","","","","","","1224","","","","1236","","","","","91347","","","","543","191675","36866","","","","","","","","","1560354","","","","",""
"1560358","36866","species","Type-F symbiont of Plautia stali","1","131567","2","","","","","","1224","","","","1236","","","","","91347","","","","543","191675","36866","","","","","","","","","1560358","","","","",""
"392736","392735","species","Uliginosibacterium gangwonense","1","131567","2","","","","","","1224","","","","28216","","","","","206389","","","","75787","","","","","","392735","","","","","392736","","","","",""
"1763537","237444","species","Ulvibacter sp. LPB0005","1","131567","2","1783270","68336","","","","976","","","","117743","","","","","200644","","","","49546","","","","","","237444","","","","","1763537","","","","",""
"42092","2129","species","Ureaplasma canigenitalium","1","131567","2","1783272","","","","","544448","","","","31969","","","","","2085","","","","2092","","","","","","2129","","","","","42092","","","","",""
"42094","2129","species","Ureaplasma diversum","1","131567","2","1783272","","","","","544448","","","","31969","","","","","2085","","","","2092","","","","","","2129","","","","","42094","","","","",""
"2130","2129","species","Ureaplasma urealyticum","1","131567","2","1783272","","","","","544448","","","","31969","","","","","2085","","","","2092","","","","","","2129","","","","","2130","","","","",""
"51173","160795","species","Ureibacillus thermosphaericus","1","131567","2","1783272","","","","","1239","","","","91061","","","","","1385","","","","186818","","","","","","160795","","","","","51173","","","","",""
"81947","2737","species","Vagococcus lutrae","1","131567","2","1783272","","","","","1239","","","","91061","","","","","186826","","","","81852","","","","","","2737","","","","","81947","","","","",""
"184870","184869","species","Varibaculum cambriense","1","131567","2","1783272","","","","","201174","","","","1760","","","","","2037","","","","2049","","","","","","184869","","","","","184870","","","","",""
"34073","34072","species","Variovorax paradoxus","1","131567","2","","","","","","1224","","","","28216","","","","","80840","","","","80864","","","","","","34072","","","","","34073","","","","",""
"1736541","34072","species","Variovorax sp. Root473","1","131567","2","","","","","","1224","","","","28216","","","","","80840","","","","80864","","","","","","34072","","","","","1736541","","","","",""
"29466","29465","species","Veillonella parvula","1","131567","2","1783272","","","","","1239","","","","909932","","","","","1843489","","","","31977","","","","","","29465","","","","","29466","","","","",""
"450749","29465","species","Veillonella sp. 6_1_27","1","131567","2","1783272","","","","","1239","","","","909932","","","","","1843489","","","","31977","","","","","","29465","","","","","450749","","","","",""
"1384082","42214","species","Veillonellaceae bacterium DNF00751","1","131567","2","1783272","","","","","1239","","","","909932","","","","","1843489","","","","31977","42214","","","","","","","","","","1384082","","","","",""
"1588748","42214","species","Veillonellaceae bacterium KA00182","1","131567","2","1783272","","","","","1239","","","","909932","","","","","1843489","","","","31977","42214","","","","","","","","","","1588748","","","","",""
"1680762","1827307","species","Ventosimonas gracilis","1","131567","2","","","","","","1224","","","","1236","","","","","72274","","","","1827282","","","","","","1827307","","","","","1680762","","","","",""
"1110389","364316","species","Verminephrobacter aporrectodeae","1","131567","2","","","","","","1224","","","","28216","","","","","80840","","","","80864","","","","","","364316","","","","","1110389","","","","",""
"364317","364316","species","Verminephrobacter eiseniae","1","131567","2","","","","","","1224","","","","28216","","","","","80840","","","","80864","","","","","","364316","","","","","364317","","","","",""
"1637999","417295","species","Verrucomicrobia bacterium IMCC26134","1","131567","2","1783257","","","","","74201","326457","417295","","","","","","","","","","","","","","","","","","","","","","1637999","","","","",""
"478741","417295","species","Verrucomicrobia bacterium LP2A","1","131567","2","1783257","","","","","74201","326457","417295","","","","","","","","","","","","","","","","","","","","","","478741","","","","",""
"382464","388747","species","Verrucomicrobiae bacterium DG1235","1","131567","2","1783257","","","","","74201","","","","203494","","","","","48461","107707","388747","","","","","","","","","","","","","382464","","","","",""
